LIVRE	NOM	livre
PREMIER	NAM	Premier
I	NUM	I
LA	NAM	LA
GRAND'SALLE	NAM	GRAND'SALLE
Il	NAM	Il
y	PRO:PER	y
a	VER:pres	avoir
aujourd'hui	ADV	aujourd'hui
trois	NUM	trois
cent	NUM	cent
quarante-huit	NUM	quarante-huit
ans	NOM	an
six	NUM	six
mois	NOM	moi|mois
et	KON	et
dix-neuf	NUM	dix-neuf
jours	NOM	jour
que	KON	que
les	DET:ART	le
Parisiens	NOM	parisien
s'	PRO:PER	se
éveillèrent	VER:simp	éveiller
au	PRP:det	au
bruit	NOM	bruit
de	PRP	de
toutes	PRO:IND	tout
les	DET:ART	le
cloches	NOM	cloche
sonnant	VER:ppre	sonner
à	PRP	à
grande	ADJ	grand
volée	NOM	volée
dans	PRP	dans
la	DET:ART	le
triple	ADJ	triple
enceinte	NOM	enceinte
de	PRP	de
la	DET:ART	le
Cité	NAM	Cité
,	PUN	,
de	PRP	de
l'	DET:ART	le
Université	NOM	université
et	KON	et
de	PRP	de
la	DET:ART	le
Ville	NAM	Ville
.	SENT	.
Ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
cependant	ADV	cependant
pas	ADV	pas
un	DET:ART	un
jour	NOM	jour
dont	PRO:REL	dont
l'	DET:ART	le
histoire	NOM	histoire
ait	VER:subp	avoir
gardé	VER:pper	garder
souvenir	VER:infi	souvenir
que	KON	que
le	DET:ART	le
6	NUM	@card@
janvier	NOM	janvier
1482	NUM	@card@
.	SENT	.
Rien	NOM	rien
de	PRP	de
notable	NOM	notable
dans	PRP	dans
l'	DET:ART	le
événement	NOM	événement
qui	PRO:REL	qui
mettait	VER:impf	mettre
ainsi	ADV	ainsi
en	PRP	en
branle	NOM	branle
,	PUN	,
dès	PRP	dès
le	DET:ART	le
matin	NOM	matin
,	PUN	,
les	DET:ART	le
cloches	NOM	cloche
et	KON	et
les	DET:ART	le
bourgeois	NOM	bourgeois
de	PRP	de
Paris	NAM	Paris
.	SENT	.
Ce	PRO:DEM	ce
n'	ADV	ne
était	VER:impf	être
ni	KON	ni
un	DET:ART	un
assaut	NOM	assaut
de	PRP	de
Picards	NOM	picard
ou	KON	ou
de	PRP	de
Bourguignons	NAM	Bourguignons
,	PUN	,
ni	KON	ni
une	DET:ART	un
châsse	NOM	châsse
menée	VER:pper	mener
en	PRP	en
procession	NOM	procession
,	PUN	,
ni	KON	ni
une	DET:ART	un
révolte	NOM	révolte
d'	PRP	de
écoliers	NOM	écolier
dans	PRP	dans
la	DET:ART	le
vigne	NOM	vigne
de	PRP	de
Laas	NAM	Laas
,	PUN	,
ni	KON	ni
une	DET:ART	un
_entrée	NOM	_entrée
de	PRP	de
notre	DET:POS	notre
dit	NOM	dit
très	ADV	très
redouté	VER:pper	redouter
seigneur	NOM	seigneur
monsieur	NOM	monsieur
le	DET:ART	le
roi_	NOM	roi_
,	PUN	,
ni	KON	ni
même	ADV	même
une	DET:ART	un
belle	ADJ	beau
pendaison	NOM	pendaison
de	PRP	de
larrons	NOM	larron
et	KON	et
de	PRP	de
larronnesses	NOM	larronnesses
à	PRP	à
la	DET:ART	le
Justice	NOM	justice
de	PRP	de
Paris	NAM	Paris
.	SENT	.
Ce	PRO:DEM	ce
n'	ADV	ne
était	VER:impf	être
pas	ADV	pas
non	ADV	non
plus	ADV	plus
la	DET:ART	le
survenue	NOM	survenue
,	PUN	,
si	ADV	si
fréquente	ADJ	fréquent
au	PRP:det	au
quinzième	NUM	quinzième
siècle	NOM	siècle
,	PUN	,
de	PRP	de
quelque	PRO:IND	quelque
ambassade	NOM	ambassade
chamarrée	VER:pper	chamarrer
et	KON	et
empanachée	VER:pper	empanacher
.	SENT	.
Il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
à	PRP	à
peine	NOM	peine
deux	NUM	deux
jours	NOM	jour
que	KON	que
la	DET:ART	le
dernière	ADJ	dernier
cavalcade	NOM	cavalcade
de	PRP	de
ce	PRO:DEM	ce
genre	NOM	genre
,	PUN	,
celle	PRO:DEM	celui
des	PRP:det	du
ambassadeurs	NOM	ambassadeur
